Agent_Code,Agent_Name
0200144,"DC INSURANCE GROUP, INC."
0200150,C.L. FINLAN & SON
0200152,STEINMETZ-VANDENBOSSCHE
0200153,STANDARD INSURANCE SERVICE
0200182,RENWICK-GRIMES & ADAMS
0200189,"MASON-MCBRIDE, INC."
0200195,KILLEBREW-STEIGER AGENCY
0200198,ALLIANT
0200200,BERT LANSING INS. AGY INC.
0200203,W. THOMAS CARVER
0200206,STANDARD INSURANCE SERVICE
0200208,BROWN & BROWN
0200213,"LIEBLER AGENCY, INC"
0200217,"DC INSURANCE GROUP, INC."
0200223,LAKEPOINTE INS AGENCY INC
0200225,SCHOONOVER AGENCY INC
0200227,"TFC & ASSOCIATES, INC"
0200232,PONTA CASTLE & INGRAM INS
0200240,KYES AGENCY II INC.
0200241,VTC INSURANCE GROUP
0200252,DUANE S. GERLACH & ASSOC.
0200258,PROPERTY UNDERWRITERS
0200260,"BOLOGNA AGENCY, INC."
0200261,THE BAXTER AGENCY INC
0200265,BECK INSURANCE AGENCY
0200271,PHILLIPS-BECK INS AGY INC
0200274,KARN-PAYETTE INS AGENCY
0200276,THE PEPPLER AGCY INC
0200277,USI INSURANCE SERVICES LLC
0200284,CHANDLER AGENCY INC
0200285,MICHIGAN COMM INS AGY INC
0200292,"AON RISK SVCS, INC. OF MI."
0200294,VTC INSURANCE GROUP
0200296,GEIB ASSOCIATES INC.
0200299,ABBOTT & FILLMORE AGY INC
0200310,"TROY-METRO AGENCY, INC"
0200316,"GOMPERS, CORNISH & BARR"
0200321,HOWES & ASSOC INS SERV.
0200324,POLJAN INSURANCE AGCY INC.
0200329,ARTHUR J GALLAGHER RISK
0200333,CARRICO MALDEGEN INSURANCE
0200334,MERCURE AGENCY INC.
0200335,THE INSURANCE CENTER
0200342,"ARLINGTON AGENCY, INC."
0200346,KINGSTON INSURANCE AGY
0200349,FISHER INSURANCE GROUP LLC
0200350,MEARS INSURANCE AGENCY
0200353,"P.L. MARTI INS AGENCY, INC"
0200354,PERRY & DRUMMY INC.
0200360,WOODWARD INSURANCE GROUP
0200364,MICHIGAN COMM INS AGY INC
0200368,VEENSTRA-CONNER INS AGENCY
0200372,DOEREN MAYHEW INSURANCE
0200377,CENTENNIAL INS AGY
0200378,THE HUTTENLOCHER GROUP
0200380,COLBY-COTE AGY
0200384,KITCHEN & ASSOCIATES INS.
0200386,"KARN-SITKINS-PAYETTE, INC."
0200388,COOPER AGENCY INC
0200389,"BETTIS INS. AGENCY, INC."
0200393,BOSQUETT/ROYAL
0200399,AITKEN ORMOND & SHORES INS
0200402,"EASTERN MICHIGAN AGCS, INC"
0200405,ACTION INSURANCE SRV INC
0200410,THE MCNISH-DENNEHY AGCS
0200419,AL BOURDEAU INSURANCE SERV
0200420,LADEMAN INSURANCE AGENCY
0200422,MUTUAL FIRE & CASUALTY
0200430,"ACORDIA, INC."
0200433,OAKLAND GEN. UNDERWRITER
0200434,HARTLAND INSURANCE GROUP
0200435,MICHIGAN COMM INS AGCY INC
0200438,DALY MERRITT INSURANCE
0200442,"INPRO INSURANCE GROUP, INC"
0200443,"MCFARLANE-KING AGENCY, INC"
0200455,LEGACY PARTNERS II LLC
0200464,GRENDEL-WITTBOLD AGCY INC.
0200471,KING'S IDEPENDENT AG.CORP.
0200474,A.O. UNDERWRITERS
0200483,CHARLES LITTLE & ASSOC.
0200488,DONALD K PIERCE & CO
0200489,ARTHUR J GALLAGHER OF MI
0200493,HAMMOND-LYONS INS AGCY LTD
0200498,PLYMOUTH-FAIRLANE ASSOC
0200501,SIMMONS INSURANCE AGCY INC
0200502,AUTEN AGENCY INC
0200508,"AITKEN & ORMOND INS., INC."
0200511,SAGINAW BAY UNDERWRITERS
0200514,R&H INSURANCE AGENCY LLC
0200516,"MCNISH GROUP, INC."
0200517,STERLING GROUP
0200522,IMCO CORPORATION
0200527,UNKNOWN - Slapshot RI Fix
0200541,"BROWN-DREIFUS AGENCY, INC."
0200543,BRADY INSURANCE AGENCY
0200544,"JOHNSTON LEWIS ASSOCIATES,"
0200545,THE INSURANCE CENTER
0200546,VTC INSURANCE GROUP
0200549,ARTHUR J GALLAGHER RISK
0200550,FAIRLANE/SHEETS AGENCY
0200553,CARY P WHITE INS AGY
0200555,C & A INSURANCE AGY INC
0200557,WM BURKHARDT & ASSOC
0200562,RALPH C WILSON AGENCY
0200564,"INSURANCE EXCHANGE AGY,INC"
0200565,"MACOMB-GERLACH AGENCY, INC"
0200566,MICHIGAN COMM INS AGY INC
0200567,MARSH & MCLENNAN AGENCY
0200574,STANDARD INSURANCE SERVICE
0200579,COVER X CORPORATION
0200589,INSURANCE EXCHANGE AGY INC
0200591,FROST INSURANCE
0200599,"GARWOOD, BUDA, KNIGHT &"
0200607,EARL JONES-COMMONWEALTH
0200609,MICHIGAN COMMUNITY INS AGY
0200614,"METRO AGENCY, INC."
0200622,BAKERHOPP INSURANCE GROUP
0200630,"INPRO INSURANCE GROUP, INC"
0200638,"GOMPERS, CORNISH & BARR"
0200643,HERSHEY INSURANCE GRP INC
0200650,BROOKE AGENCY SERVS CO LLC
0200658,LOTTIE M SCHMIDT &THOMPSON
0200662,DOEREN MAYHEW INSURANCE
0200663,MICHIGAN COMM INS AGY INC
0200666,BRIDGES-TENJERAS INS AGY
0200667,GEORGE B FORD AGENCY INC
0200668,DALY MERRITT INSURANCE
0200673,KURTH AGENCIES INC
0200678,MCKINNON & MOONEY
0200679,JOHN A PARKS CO. INC.
0200682,CIA INSURANCE & RISK MGMT
0200704,"TFC & ASSOCIATES, INC."
0200705,WAYNE OAKLAND AGENCY INC
0200708,LIGHTHOUSE GROUP
0200714,THE HUTTENLOCHER GROUP
0200718,STATE INS AGY OF SFLD INC
0200719,THE INSURANCE CENTER
0200722,PREFERRED UNDERWRITERS INC
0200725,PROFESSIONAL INS. ASSOC.
0200732,MCFARLANE-KING AGENCY
0200734,SWEET & ASSOCIATES
0200738,BROOKE AGENCY SERVS CO LLC
0200739,MACOMB INS MART INC
0200745,NEUENDORF-BAUMGARTEN AGY
0200746,VALENTI TROBEC CHANDLER
0200750,JOHN THOMAS-MAYFAIR AGY
0200751,SOVIS INS AGY ST CHARLES
0200756,"DUNN INSURANCE AGENCY, LLC"
0200762,INSURANCE MKTG SYSTEMS
0200767,LETZRING-ATCHISON AGY INC
0200769,"ALLIED INSURANCE MGRS, INC"
0200775,JARDINE INSURANCE AGENCY
0200776,THE PORTLAND INS AGY
0200777,CONSOLIDATED AGENCIES INC
0200779,INSURANCE EXCHANGE/DOYLE
0200781,PENWARDEN-FLECHSIG INC
0200787,IRWIN INSURANCE AGENCY INC
0200790,JARDINE/MCDONALD'S
0200796,LOYALTY INSURANCE SERVICES
0200798,"MASON-MCBRIDE, INC."
0200805,ARTHUR J GALLAGHER OF MI
0200811,DAVIS-VANDENBOSSCHE AGCY
0200812,"MITZEL AGENCY, INC."
0200817,CAPITAL INSURANCE GROUP
0200827,HUB INTERNATIONAL MIDWEST
0200842,ALCOS
0200848,"GOMPERS, CORNISH & BARR"
0200854,FIRST INDEPENDENT-DESCAMPS
0200858,"PAYE, FISCHER & KRAUSE INS"
0200859,INSURANCE CENTRE
0200862,ACTION INSURANCE SRV INC
0200863,SAGINAW BAY UNDERWRITERS
0200869,MARTIN/BETTIS INSURANCE
0200873,GENE HARRIS INSURANCE AGY
0200875,LUCIDO'S INSURANCE AGENCY
0200876,GENERAL AGY/UNITED AGENCY
0200885,MARKUS INSURANCE AGENCY
0200886,ASSURANCE NETWORK INC
0200888,"METRO AGENCY, INC."
0200889,BROWN & BROWN OF DETROIT
0200893,"KARCHER AGENCY, INC."
0200900,MICHIGAN AUTO INS FACILITY
0200905,PROFESS'L UNDERWRITERS INC
0200906,NOT CITIZENS AGENTS
0200907,"J HEALAN BAKER AGY, INC"
0200908,DETROIT TAXI ASSIGNED RISK
0200909,SERVICE ACCOUNT
0200912,"PONTA,CASTLE, & INGRAM AGY"
0200915,STANDARD INSURANCE SERVICE
0200923,THE DEARBORN AGCY INC
0200924,INTERLAKES INSURANCE AGCY
0200925,VTC INSURANCE GROUP
0200926,DASCHKE-MCCARRON & ASSOC
0200929,ADM MGMT SERVICES-N
0200931,LONG INSURANCE SERVICE LLC
0200932,"MOORE & POVENZ METRO, INC"
0200933,"MCDONNELL AGENCY, INC."
0200937,BROWN & BROWN
0200938,SNYDER INSURANCE AGENCY
0200939,MURPHY-GODDARD AGENCY INC
0200941,LAWRENCE AGENCY INC
0200945,CARDINAL AGENCY INC.
0200947,"MCNISH GROUP, INC."
0200949,AL BOURDEAU INS SERV
0200950,UNKNOWN - Slapshot RI Fix
0200959,"JOHNSTON LEWIS ASSOCIATES,"
0200963,BANC OF AMERICA INS SERV
0200986,"T.A. CONRAD AGENCY, INC."
0200991,VTC INSURANCE GROUP
0200995,NOLTA-QUAIL-SAUER
0200996,"FROST & REMER AGENCY, INC."
0200998,TEST AGENT
0200999,UNKNOWN - Slapshot RI Fix
0201000,SEABURY & SMITH
0201001,"ZERVOS GROUP, INC."
0201004,IBF INSURANCE GROUP
0201008,VTC INSURANCE GROUP
0201010,"EMERSON-PREW, INC."
0201011,WILLIS OF MICH/JARDINE
0201017,"JOHNSON & HIGGINS OF MI,IN"
0201021,"HARTLAND INS. SERVICES,INC"
0201025,THE FREEDOM ADVANTAGE INS
0201027,ARTHUR J GALLAGHER RISK
0201030,"LENAHAN-VERSICAL INS AG,LL"
0201035,SEABURY & SMITH
0201036,"LENAHAN INSURANCE AGY, INC"
0201038,"HYLANT GROUP, INC."
0201040,"AITKEN & ORMOND INS., INC."
0201041,MEMBERS HOME & AUTO-CUO
0201044,"A.O. UNDERWRITERS, LTD."
0201049,STANDARD INSURANCE SERVICE
0201050,STERLING GROUP
0201053,"A.E. MOURAD AGENCY, INC."
0201062,"CAMDEN INSURANCE AGY, INC."
0201063,"INDUSTRIAL INS SERV, INC"
0201068,GERALD J STANLEY & ASSOC
0201071,CONNER INSURANCE GROUP
0201072,"IBEX ENTERPRISES, INC."
0201083,MEMBERS HOME & AUTO
0201084,NUSTAR INSURANCE AGENCY
0201085,RICHMOND INS AGCY GRP INC.
0201087,"GOODWIN, LADEMAN & ASSOC."
0201089,MEARS INSURANCE AGENCY
0201093,INSURAMRICORP
0201095,STERLING  GROUP
0201097,MEMBERS HOME & AUTO
0201099,"E.W. SMITH AGENCY, INC."
0201100,LSG INSURANCE PARTNERS
0201101,VTC INSURANCE GROUP
0201102,AON RISK SVCS PROGRAM DIV
0201110,NUSTAR INSURANCE AGENCIES
0201116,"JOHNSTON LEWIS ASSOCIATES,"
0201117,HANTZ AGENCY LLC
0201118,CONSOLIDATED UND ALLI LTD
0201120,SWEET & ASSOCIATES
0201122,KUJALA INSURANCE AGCY LLC
0201123,GILBERT & WISEMAN INS
0201124,HANNIGAN INS SERVICES
0201128,MCNISH AGENCY OF DETROIT
0201129,BENCHMARK FINANCIAL LTD
0201132,HERSHEY INSURANCE GRP INC
0201133,MEMBERS HOME AND AUTO-CCCU
0201134,MEMBERS HOME AND AUTO
0201135,MEMBERS HOME AND AUTO-CUO
0201138,ALLIANT
0201141,STANDARD INSURANCE SERVICE
0201142,NATIONAL CITY INSURANCE
0201146,"MASON-MCBRIDE, INC."
0201149,PROFESSIONAL SURETY SV INC
0201150,THE HUTTENLOCHER GROUP
0201151,THE FREEDOM ADVANTAGE INS
0201156,GASS-BECKER INS AGY INC
0201160,STERLING GROUP
0201161,HAMMOND-LYONS INS AGCY LTD
0201167,KOROTKIN INSURANCE GROUP
0201170,STERLING GROUP
0201173,KOROTKIN INSURANCE GROUP
0201174,STERLING INSURANCE GROUP
0201176,GRIFFIN-SMALLEY
0201177,"CHOICE INSURANCE AGY, INC"
0201185,"STERLING BENEFITS, LLC."
0201186,SWEET & ASSOCIATES INTL
0201188,THE TIMBERLAND GROUP
0201191,SUMMIT GLOBAL PARTNERS-MI
0201193,AL BOURDEAU INS SERVICE
0201194,LADEMAN INSURANCE AGENCY
0201195,INSURANCE EXCHANGE AGENCY
0201196,PROFESS'L UNDERWRITERS INC
0201199,"ACTION INS SERVICE, INC"
0201201,STERLING GROUP
0201203,HERSHEY INSURANCE GROUP
0201206,"ZERVOS GROUP, INC"
0201207,ONE'S HOME AND AUTO
0201210,"ZERVOS AGENCY, INC."
0201211,VALENTI TROBEC CHANDLER
0201214,SEABURY & SMITH
0201215,BAKER-HOPP & ASSOCIATES
0201216,LOTTIE M SCHMIDT &THOMPSON
0201218,"INPRO INSURANCE GROUP, INC"
0201219,GRIFFIN-SMALLEY-WILKERSON
0201221,DOEREN MAYHEW INS. GRP LLC
0201224,"MASON-MCBRIDE, INC."
0201227,GENE HARRIS INSURANCE AGY
0201231,"GEIB ASSOCIATES, INC."
0201240,GEORGE B FORD AGENCY
0201265,RALPH C. WILSON AGCY INC.
0201290,"E.W. SMITH AGENCY, INC."
0201293,THE HUTTENLOCHER GROUP
0201298,BROWN & BROWN OF DETROIT
0201299,HOWEY & ASSOCIATES INC
0201300,"KARN-SITKINS-PAYETTE, INC."
0201301,UNKNOWN - Slapshot RI Fix
0201302,"INPRO INSURANCE GROUP, INC"
0201306,GEORGE B. FORD AGENCY
0201308,BAKER-HOPP & ASSOCIATES
0201309,THE INSURANCE CENTER
0201310,J JACOBS & ASSOCIATES INC
0201311,J JACOBS & ASSOCIATES INC
0201312,J JACOBS & ASSOCIATES INC
0201317,UNKNOWN - Slapshot RI Fix
0201318,UNKNOWN - Slapshot RI Fix
0201319,HANNIGAN INS SERVICES
0201321,STERLING GROUP
0201326,"HANTZ AGENCY, LLC"
0201329,"SHORES AGENCY, INC"
0201331,VTC INSURANCE GROUP
0201333,WAUSAU SIGNATURE AGY INC
0201338,MEMBERS HOME AND AUTO-LTCU
0201339,"IBERIA RISK SERVICES, INC"
0201342,"GOSS GROUP, INC."
0201343,OAKLAND INSURANCE AGENCY
0201344,INSURANCE ADVISORS
0201346,"MARSH USA, INC."
0201348,ASSUREDPARTNERS OF MI LLC
0201352,"BLACKMORE ROWE AGENCY, INC"
0201357,LSG INSURANCE PARTNERS
0201358,HOWEY & ASSOCIATES INC.
0201361,"PAYE, FISCHER & KRAUSE INS"
0201363,FARMINGTON INS. AGENCY LLC
0201364,"AON RISK SERVICES, INC. OF"
0201365,DOEREN MAYHEW RISK MGT LLC
0201367,LIBERTY RISK MGMT INS
0201368,LONG INSURANCE SERVICE LLC
0201369,BROOKE AGENCY SERVICES CO
0201370,GERALD J STANLEY & ASSOC
0201373,DUDEK INSURANCE AGENCY
0201374,ACTION INSURANCE SRV INC
0201375,ASSUREDPARTNERS OF MI LLC
0201376,DAVIS-VANDENBOSSCHE AGCY
0201378,DUANE S GERLACH & ASSOC IN
0201383,FARMINGTON INS. AGENCY LLC
0201385,BROOKE AGENCY SERV CO LLC
0201386,BROOKE AGENCY SERV CO LLC
0201387,BROOKE AGENCY SERV CO LLC
0201388,BROOKE AGENCY SERV CO LLC
0201389,ASSUREDPARTNERS OF MI LLC
0201390,BAKERHOPP INSURANCE GROUP
0201394,LOYALTY INSURANCE SERVICES
0201395,CARRICO MALDEGEN INSURANCE
0201399,THOMAS TUCKER INSURANCE
0201405,CAMELOT INSURANCE AGENCY
0201406,CANTOR INS GROUP LLC
0201415,BROOKE AGENCY SERVICES
0201416,BROOKE AGENCY SERVICES
0201417,BROOKE AGENCY SERVICES
0201418,BROOKE AGENCY SERVS CO LLC
0201419,BROOKE AGENCY SERVS CO LLC
0201420,5 STAR INSURANCE AGCY LLC
0201421,PRIMARY INSURANCE AGENCY
0201422,CONSOLIDATED UND ALLI LTD
0201423,CONSOLIDATED UND ALLI LTD
0201424,CONSOLIDATED UND ALLI INC
0201425,QUEST INSURANCE AGENCY INC
0201426,CONSOLIDATED UND ALLI LTD
0201427,CONSOLIDATED UND ALLI INC
0201428,QUEST INSURANCE AGENCY INC
0201429,CONSOLIDATED UND ALLI LTD
0201430,CONSOLIDATED UND ALLI LTD
0201431,MILLENNIUM INSURANCE AGY
0201432,CONSOLIDATED UND ALLI INC
0201433,CONSOLIDATED UND ALLI LTD
0201434,CONSOLIDATED UND ALLI LTD
0201435,CONSOLIDATED UND ALLI LTD
0201436,CONSOLIDATED UND ALLI LTD
0201439,STERLING GROUP
0201440,VTC INSURANCE GROUP
0201441,VTC INSURANCE GROUP
0201444,MEMBERS HOME AND AUTO-DFCU
0201451,FARMINGTON INS AGENCY LLC
0201452,"GUY HURLEY, LLC"
0201453,AUTUMN ASSOCIATES
0201454,MEMBERS HOME AND AUTO-ACCU
0201455,STERLING GROUP
0201463,AITKEN ORMOND & SHORES INS
0201470,CONSOLIDATED UND ALLI LTD
0201472,BROOKE AGENCY SERVICES
0201474,BERKFIELD & CO LTD
0201475,ASSUREDPARTNERS NL LLC
0201477,VTC INSURANCE GROUP
0201479,LOYALTY INSURANCE SERVICES
0201482,BROOKE AGENCY SERVICES CO.
0201495,J JACOBS & ASSOCIATES INC
0201496,MILLENNIUM INS & INV GRP
0201497,CONSOLIDATED UND ALLI LTD
0201504,MILLENNIUM INS & INV GRP
0201505,"HANTZ AGENCY, LLC"
0201511,LAKESIDE AGENCY INC
0201513,SECURE INVESTORS GROUP INC
0201514,GREAT NORTHERN INSURANCE
0201518,FOCUS INSURANCE AGENCY
0201520,VALENTI TROBEC CHANDLER
0201526,"MASON-MCBRIDE, INC."
0201527,SELECT HOME AND AUTO
0201528,"KAPNICK & COMPANY, INC."
0201540,SCHULTE AGENCY INC.
0201541,SCHULTE AGENCY INC.
0201544,FOCUS INSURANCE AGENCY
0201545,BROOKE AGENCY SERVICES
0201546,OAKLAND INSURANCE AGENCY
0201547,OAKLAND INSURANCE AGENCY
0201552,KOROTKIN INSURANCE GROUP
0201553,"LANKFORD AGENCY, INC."
0201554,ARTHUR J GALLAGHER RISK
0201568,"KARCHER AGENCY, INC."
0201569,INSURANCE AGENCY HOUSE OF
0201570,STERLING GROUP
0201572,CASTLE EDGE INS AGENCY INC
0201581,BROWN & BROWN OF DETROIT
0201583,GRIFFIN SMALLEY &
0201587,UNKNOWN - Slapshot RI Fix
0201589,BARRON INSURANCE AGENCY
0201590,MCFS
0201591,ARLINGTON AGENCY INC
0201592,"KARCHER AGENCY, INC."
0201593,WOODWARD INSURANCE GROUP
0201596,ARTHUR J GALLAGHER RISK
0201597,UNKNOWN - Slapshot RI Fix
0201598,HARTLAND INSURANCE GROUP
0201599,"INSURANCE ADVISORS, INC."
0201600,LUCIDO'S INSURANCE AGENCY
0201606,THE INSURANCE CENTER
0201607,BROOKE AGENCY SERVICES
0201609,CONFIDENTIAL INS AGENCY
0201613,FARMINGTON INS AGENCY LLC
0201615,COMERICA INS SERVICES INC
0201616,MAL INSURANCE SVCS.
0201619,R&H INSURANCE AGENCY LLC
0201620,MCFARLANE-KING AGENCY
0201623,GREAT LAKES INSURANCE
0201625,BROWN & BROWN OF DETROIT
0201626,KOROTKIN INSURANCE GROUP
0201629,MICHIGAN COMM INS AGY INC
0201632,STERLING GROUP
0201634,HERSHEY INSURANCE GRP INC
0201635,STORM INSURANCE SERVICES
0201636,"J HEALAN BAKER AGY, INC"
0201639,KLEBBA AGENCY INC.
0201641,KOROTKIN INSURANCE GROUP
0201642,GREAT LAKES INDEPENDENT
0201645,COLBURN COLBURN
0201647,BROOKE AGENCY SERV CO LLC
0201655,HERSHEY INSURANCE GRP INC
0201656,HAKIM INSURANCE AGENCY INC
0201658,CONSOLIDATED UND ALLI LTD
0201659,AMERICA ONE NORTHRIDGE
0201660,CREATIVE BENEFITS &
0201663,MEMBERS HOME AND AUTO-CUO
0201664,MEMBERS HOME AND AUTO-DFCU
0201665,MEMBERS HOME AND AUTO-MCCU
0201666,MEMBERS HOME AND AUTO
0201669,MEARS INSURANCE AGENCY
0201670,WM G JENSEN AGENCY INC.
0201671,ROE AGENCY INC
0201672,VALENTI TROBEC CHANDLER
0201678,CONSOLIDATED UND ALLI LTD
0201681,DALY MERRITT INSURANCE
0201683,DALY MERRITT INSURANCE
0201688,UNKNOWN - Slapshot RI Fix
0201692,VTC INSURANCE GROUP
0201694,HUB INTERNATIONAL MIDWEST
0201695,BUHL INSURANCE
0201697,J JACOBS & ASSOCIATES INC
0201699,ROE AGENCY INC
0201702,"GOMPERS, CORNISH & BARR"
0201703,BLANCHARD AGENCY INC
0201704,"GOMPERS, CORNISH & BARR"
0201705,VALENTI TROBEC CHANDLER
0201706,GREAT LAKES INDEPENDENT
0201710,LADEMAN & LADEMAN OF MICH
0201711,MAIN STREET INSURANCE
0201712,CRANBROOK GENERAL
0201713,HANTZ AGENCY LLC
0201714,UNKNOWN - Slapshot RI Fix
0201715,LADEMAN INSURANCE AGENCY
0201716,UNKNOWN - Slapshot RI Fix
0201721,USI INSURANCE SERVICES LLC
0201725,VTC INSURANCE GROUP
0201726,GRIFFIN SMALLEY
0201728,ACTION INSURANCE SRV INC
0201730,HANNIGAN INSURANCE AGY LLC
0201733,KOROTKIN INSURANCE GROUP
0201736,CARRICO MALDEGEN INSURANCE
0201737,INPRO INSURANCE
0201738,PERRY & DRUMMY INC
0201741,STERLING INSURANCE GROUP
0201746,BENCHMARK FINANCIAL LTD
0201748,BROOKE AGENCY SERVICES CO
0201749,BAKERHOPP INSURANCE GROUP
0201750,WATERFORD INSURANCE AGENCY
0201752,CONSOLIDATED UND ALLI LTD
0201753,FARMINGTON INS AGENCY LLC
0201754,WEICHERT INS AGENCY INC
0201756,WEICHERT INS AGENCY INC
0201758,NUSTAR INSURANCE AGENCY
0201759,THE INSURANCE CENTER
0201762,AMERICA ONE NORTHRIDGE
0201764,GREAT LAKES INDEPENDENT
0201766,C.L.FINLAN & SON INC
0201768,GRIFFIN SMALLEY &
0201770,"NICKEL & SAPH, INC"
0201774,"JPS INSURANCE AGENCY, LLC"
0201786,TDA INS & FINANCIAL AGCY
0201787,GRIFFIN SMALLEY WILKERSON
0201790,RALPH C. WILSON AGCY INC.
0201792,GREAT NORTHERN INSURANCE
0201793,GREAT NORTHERN INSURANCE
0201798,CONSOLIDATED UND ALLI LTD
0201799,CUSTOM INSURANCE AGENCY
0201800,PLI BROKERAGE
0201801,PLI BROKERAGE
0201805,STORM INSURANCE SERVICES
0201808,"JPS INSURANCE AGENCY, LLC"
0201809,"JPS INSURANCE AGENCY, LLC"
0201810,BENCHMARK FINANCIAL LTD
0201811,MILLENNIUM INS & INV GRP
0201812,LOYALTY INSURANCE SERVICES
0201814,JPS INSURANCE AGENCY LLC
0201820,FROST INSURANCE
0201829,JPS INSURANCE AGENCY LLC
0201830,AGENCY ADVANTAGE INS AGCY
0201832,J JACOBS & ASSOCIATES INC
0201833,ARTHUR J GALLAGHER RISK
0201834,CONSOLIDATED UND ALLI LTD
0201835,STRIVE FINANCIAL LLC
0201837,CONSOLIDATED UND ALLI INC
0201838,CONSOLIDATED UND ALLI LTD
0201841,"JPS INSURANCE AGENCY, LLC"
0201847,BERKFIELD & CO LTD
0201848,WATERFORD INSURANCE AGENCY
0201849,SWEET & ASSOCIATES
0201851,"HARTLAND INSURANCE GRP,INC"
0201852,HARTLAND INSURANCE GROUP
0201853,CONSOLIDATED UND ALLI LTD
0201855,HUB INTERNATIONAL MIDWEST
0201858,DALY MERRITT INSURANCE
0201864,"METRO AGENCY, INC."
0201868,"INSURANCE ONE AGENCY, INC."
0201869,"INSURANCE ONE AGENCY, INC."
0201870,"INSURANCE ONE AGENCY, INC."
0201875,DOEREN MAYHEW INSURANCE
0201879,STERLING GROUP
0201882,J JACOBS & ASSOCIATES INC
0201883,J JACOBS & ASSOCIATES INC
0201884,J JACOBS & ASSOCIATES INC
0201885,STERLING INSURANCE GROUP
0201887,INSURANCE ONE AGENCY INC
0201888,INSURANCE ONE AGENCY INC
0201889,INSURANCE ONE AGENCY INC
0201890,INSURANCE ONE AGENCY INC
0201891,INSURANCE ONE AGENCY INC
0201892,INSURANCE ONE AGENCY INC
0201893,CONSOLIDATED UND ALLI LTD
0201894,CONSOLIDATED UND ALLIANCE
0201895,CONSOLIDATED UND ALLI LTD
0201896,CONSOLIDATED UND ALLIANCE
0201897,CONSOLIDATED UND ALLI LTD
0201898,CONSOLIDATED UND ALLI LTD
0201902,CRANBROOK GENERAL
0201904,CONSOLIDATED UND ALLI LTD
0201905,"MCNISH GROUP, INC"
0201906,"MCNISH GROUP, INC"
0201913,SECURE INVESTORS GROUP INC
0201920,NRT INS AGENCY INC
0201929,GOODMAN VENEGAS INSURANCE
0201930,MEARS INSURANCE AGENCY
0201931,ALL CITIES INSURANCE
0201941,HERSHEY INSURANCE GRP INC
0201942,STERLING GROUP
0201951,GOODMAN VENEGAS INSURANCE
0201963,BROWN & BROWN OF DETROIT
0201965,STERLING GROUP INC
0201967,ROSENFELD INSURANCE AGENCY
0201998,STERLING GROUP
0201999,STERLING GROUP
0202000,BENCHMARK FINANCIAL LTD
0202001,BENCHMARK FINANCIAL LTD
0202002,BENCHMARK FINANCIAL LTD
0202003,BENCHMARK FINANCIAL LTD
0202004,BENCHMARK FINANCIAL LTD
0202005,BENCHMARK FINANCIAL LTD
0202006,BENCHMARK FINANCIAL LTD
0202007,BENCHMARK FINANCIAL LTD
0202008,BENCHMARK FINANCIAL LTD
0202009,BENCHMARK FINANCIAL LTD
0202010,BENCHMARK FINANCIAL LTD
0202011,BENCHMARK FINANCIAL LTD
0202018,STERLING GROUP INC
0202019,BENCHMARK FINANCIAL LTD
0202020,PRODUCTION TEST AGENT 1
0202025,MARSH & MCLENNAN AGENCY
0202026,VTC INSURANCE GROUP
0202027,VTC INSURANCE GROUP
0202031,VTC INSURANCE GROUP
0202034,ZERVOS AGENCY INC
0202035,MAIN STREET INSURANCE
0202038,FARMINGTON INS. AGENCY LLC
